1061227,Deposito,20,25,06/08/2020,18:44:14,t

1061227,Retiro,10,15,06/08/2020,18:47:43,t

1061227,Deposito,30,45,06/08/2020,18:49:45,t
1061227,Retiro,5,40,06/08/2020,18:50:28,t


1061227,Deposito,30,70,06/08/2020,18:53:2,t

1061227,Deposito,20,90,06/08/2020,18:54:37,t

1061227,Deposito,30,120,06/08/2020,20:39:46,t
1061227,Retiro,5,115,06/08/2020,20:40:3,t
1061227,Retiro,20,95,06/08/2020,20:40:22,t
1061227,Deposito,50,145,06/08/2020,20:40:41,t
1061227,Deposito,15,160,06/08/2020,20:40:57,t





1061227,Retiro,80,80,06/08/2020,20:45:3,t

2011977,Deposito,30,35,,10:42:24,t
2011977,Deposito,5,40,,10:42:45,t
2011977,Retiro,10,30,,10:53:22,t

2011977,Deposito,70,100,,11:28:41,t

