1023222,Deposito,23,28,06/08/2020,6:32:46,f
1064229,Deposito,3,8,06/08/2020,6:37:38,f
1029277,Deposito,20,25,06/08/2020,9:9:0,t
1098222,Deposito,30,35,06/08/2020,9:20:11,t

1098222,Deposito,50,85,06/08/2020,9:21:38,t

1029277,Deposito,20,45,06/08/2020,9:30:23,t


1029277,Deposito,20,65,06/08/2020,9:35:14,t
1029277,Deposito,10,75,06/08/2020,9:37:36,t
1029277,Retiro,2,73,06/08/2020,9:38:58,t
1029277,Retiro,10,65,06/08/2020,9:40:43,t
1029277,Deposito,12,77,06/08/2020,9:41:37,t
1098222,Deposito,13,98,06/08/2020,9:42:30,f





